word,ud_test_head,ud_test_deprel,ud_preds_head,ud_preds_deprel,str_test_head,str_test_deprel,str_preds_head,str_preds_deprel,ellipsis
другой,6,amod,6,amod,6,опред,6,опред,0
необычный,6,amod,6,amod,6,опред,6,опред,0
для,4,case,4,case,2,1-компл,2,1-компл,0
системы,2,obl,2,obl,3,предл,3,предл,0
образования,4,nmod,4,nmod,4,1-компл,4,квазиагент,0
проект,12,nsubj,12,nsubj,12,предик,12,предик,0
"""",8,punct,8,punct,8,punct,8,punct,0
город,6,appos,6,appos,6,ном-аппоз,6,ном-аппоз,0
как,10,mark,10,mark,8,сравнит,8,сравнит,0
школа,8,acl,8,acl,9,сравн-союзн,9,сравн-союзн,0
"""",8,punct,8,punct,8,punct,8,punct,0
появился,0,root,0,root,0,root,0,root,0
в,15,case,15,case,12,обст,12,обст,0
1970-е,15,amod,15,amod,15,опред,15,опред,0
годы,12,obl,12,obl,13,предл,13,предл,0
в,17,case,17,case,12,2-компл,12,2-компл,0
нью-йорке,12,obl,12,obl,16,предл,16,предл,0
",",20,punct,20,punct,20,punct,20,punct,0
где,20,advmod,20,advmod,20,1-компл,20,обст,0
стояла,17,acl:relcl,17,acl:relcl,17,релят,17,релят,0
задача,20,nsubj,20,nsubj,20,предик,20,предик,0
возвращения,21,nmod,21,nmod,21,1-компл,21,1-компл,0
в,24,case,24,case,22,3-компл,22,3-компл,0
систему,22,nmod,22,nmod,23,предл,23,предл,0
образования,24,nmod,24,nmod,24,1-компл,24,квазиагент,0
тех,27,det,27,det,27,опред,27,опред,0
старшеклассников,22,nmod,22,nmod,22,1-компл,22,1-компл,0
",",30,punct,30,punct,30,punct,30,punct,0
кто,30,nsubj,30,nsubj,30,предик,30,предик,0
покинул,27,acl:relcl,27,acl:relcl,27,релят,27,релят,0
школу,30,obj,30,obj,30,1-компл,30,1-компл,0
",",33,punct,33,punct,33,punct,33,punct,0
недоучившись,30,advcl,30,advcl,30,обст,30,обст,0
в,35,case,35,case,33,обст,33,обст,0
ней,33,obl,33,obl,34,предл,34,предл,0
год,33,obl,33,obl,33,3-компл,33,длительн,0
или,38,cc,38,cc,36,сочин,36,сочин,0
два,36,conj,36,conj,37,соч-союзн,37,соч-союзн,0
.,12,punct,12,punct,12,punct,12,punct,0
забастовка,3,nsubj:pass,3,nsubj:pass,2,предик,2,предик,0
была,3,aux:pass,3,aux:pass,0,root,0,root,0
связана,0,root,0,root,2,пасс-анал,2,пасс-анал,0
то,7,cc,7,cc,17,соотнос,17,соотнос,0
ли,4,fixed,4,fixed,4,огранич,4,огранич,0
с,7,case,7,case,3,2-компл,3,2-компл,0
тем,3,obl,3,obl,6,предл,6,предл,0
",",13,punct,13,punct,13,punct,13,punct,0
что,13,mark,13,mark,7,эксплет,7,эксплет,0
правительство,13,nsubj,13,nsubj,13,предик,13,предик,0
неаккуратно,13,advmod,13,advmod,13,обст,13,обст,0
что-то,13,obj,13,obj,13,1-компл,13,1-компл,0
пообещало,7,acl,7,acl,9,подч-союзн,9,подч-союзн,0
в,15,case,15,case,13,обст,13,обст,0
ес,13,obl,13,obl,14,предл,14,предл,0
",",20,punct,20,punct,20,punct,20,punct,0
то,20,cc,20,cc,6,сочин,6,сочин,0
ли,17,fixed,17,fixed,17,огранич,17,огранич,0
с,20,case,20,case,17,соч-союзн,17,соч-союзн,0
тем,7,conj,7,conj,19,предл,19,предл,0
",",35,punct,35,punct,35,punct,35,punct,0
что,35,mark,35,mark,20,эксплет,20,эксплет,0
оно,35,nsubj,35,nsubj,35,предик,35,предик,0
уже,35,advmod,25,obl,35,огранич,27,огранич,0
какие-то,27,det,27,det,27,опред,27,опред,0
социальные,27,amod,27,amod,27,опред,27,опред,0
блага,35,obj,35,obj,35,1-компл,35,1-компл,0
(,33,punct,33,punct,33,punct,33,punct,0
