id,ud_test_head,ud_test_deprel,ud_test_deps_id,ud_test_deps_deprel,ud_pred_head,ud_pred_deprel,ud_pred_deps_id,ud_pred_deps_deprel,str_test_head,str_test_deprel,str_test_deps_id,str_test_deps_deprel,str_pred_head,str_pred_deprel,str_pred_deps_id,str_pred_deps_deprel,text,sent_id
30,24,conj,"[27, 28, 29]","['iobj', 'advmod', 'nummod']",24,conj,"[26, 27, 29]","['punct', 'iobj', 'nummod:gov']",24,сент-соч,"[27, 28, 29]","['дат-субъект', 'огранич', 'количест']",24,сочин,"[26, 27, 29]","['punct', 'дат-субъект', 'количест']","Моя любовь к буйным пляскам вынудила мать согласиться на мое участие в Петроградском райкомовском концерте по поводу годовщины советской власти (то есть ноябрь 1942-го, мне еще четыре).",341_2015Blokadnoe_detstvo
21,15,conj,"[20, 23]","['advmod', 'obl']",15,conj,"[20, 23]","['advmod', 'obl']",15,сочин,"[20, 22]","['обст', '3-компл']",15,сочин,"[20, 22, 28]","['обст', '2-компл', 'сент-соч']","Потом я его вместе с другими бумагами, которые неизвестно почему жалко выбросить, переложил в другой ящик, потом в папку с тесемками, потом прошло лет тридцать, и, вместо того чтобы эту папку не трогать, я решил все же просмотреть, что там лежит, перед тем как выбросить, вместо того чтобы выбросить сразу.",72_2020_Corpus2_0Iz_zhizni_odnogo_ezha
14,25,csubj,[16],['obl'],13,punct,[],[],25,предик,[15],['1-компл'],13,punct,[],[],"""Так почему же общаться с Лимоновым и Шениным - стыдно, а с Путиным, Грефом, Кудриным, Медведевым - нет?"", - спрашивает Шендерович.",17_2009Novaya_russkaya_ruletka
25,16,cc,"[13, 14, 24]","['cc', 'csubj', 'discourse']",24,punct,[],[],13,соч-союзн,"[14, 24]","['предик', 'огранич']",24,punct,[],[],"""Так почему же общаться с Лимоновым и Шениным - стыдно, а с Путиным, Грефом, Кудриным, Медведевым - нет?"", - спрашивает Шендерович.",17_2009Novaya_russkaya_ruletka
15,3,conj,"[14, 17, 21, 24]","['cc', 'obl', 'obl', 'obl']",3,conj,"[14, 17, 24]","['cc', 'obl', 'obl']",14,соч-союзн,"[16, 18, 23]","['1-компл', '2-компл', 'обст']",14,соч-союзн,"[16, 23]","['1-компл', 'обст']",Количество погибших варьировалось от одной до трёх сотен - по версии польской стороны и от одной до пяти тысяч погибших - по версии книги изданной в немецком правоэкстремистском издательстве DSZ.,34_2019Vtoraya_mirovaya_voina
16,10,conj,"[15, 18]","['advmod', 'obl']",10,conj,"[15, 18]","['advmod', 'obl']",10,сочин,"[15, 17]","['обст', 'обст']",10,сочин,"[15, 17]","['обст', '2-компл']","- Раньше я жил в мире победителей: по-своему преуспевал в морском флоте, потом в философии.",54_2010Kovcheg_Zhana_Vanie
15,7,conj,"[14, 17]","['nsubj', 'obl']",14,punct,[],[],7,сент-соч,"[14, 16]","['предик', '1-компл']",14,punct,[],[],"И все видят пофамильно, кто находится над чертой со своими баллами, кто под чертой.",87_2003Bolshie_peremeny
18,8,conj,"[17, 19]","['nsubj', 'xcomp']",19,aux,[],[],8,сент-соч,"[17, 19, 23]","['предик', '1-компл', 'сент-соч']",17,punct,[],[],"В одно и то же время кто-то может изучать химию, математику или другой предмет, кто-то играть в шахматы, а кто-то - заниматься обустройством общей жизни.",93_2013Plody_alternativnogo_prosveshcheniya
26,8,conj,"[23, 24, 27]","['cc', 'nsubj', 'xcomp']",27,cc,[],[],23,соч-союзн,"[24, 27]","['предик', '1-компл']",27,punct,[],[],"В одно и то же время кто-то может изучать химию, математику или другой предмет, кто-то играть в шахматы, а кто-то - заниматься обустройством общей жизни.",93_2013Plody_alternativnogo_prosveshcheniya
13,12,csubj,[15],['obl'],12,csubj,[15],['obl'],12,предик,[14],['3-компл'],12,предик,[14],['2-компл'],"Из толпы кто-то выкрикнул, что если иностранец, тем более надо в БЕЗО, но другими призыв поддержан не был, и толпа вокруг меня при слове ""иностранец"" стала рассасываться.",180_2020_RFFIMoskva_2042
20,14,advcl,"[18, 19, 23]","['mark', 'advmod', 'nsubj']",19,punct,[],[],18,сравн-союзн,"[19, 23]","['обст', 'предик']",19,punct,[],[],"Тогда Монахов ее не заметил - сейчас разглядывал ее тогда: точно так погиб ее Нуриманов, как сейчас вот этот солдат…",251_uppsalaBitov_3
13,10,parataxis,"[12, 16]","['obj', 'obl']",12,punct,[],[],10,разъяснит,"[12, 14, 18]","['1-компл', 'обст', 'сент-соч']",12,punct,[],[],"Полное впечатление, что мы опять пригласили на царство варягов - одного в качестве президента, а другого в качестве председателя Союза журналистов.",5_2008Chem_kumushek_schitat
20,12,conj,"[18, 19, 23]","['cc', 'obj', 'obl']",19,punct,[],[],18,соч-союзн,"[19, 21]","['1-компл', 'обст']",19,punct,[],[],"Полное впечатление, что мы опять пригласили на царство варягов - одного в качестве президента, а другого в качестве председателя Союза журналистов.",5_2008Chem_kumushek_schitat
4,1,conj,"[2, 3]","['cc', 'advmod']",1,conj,"[2, 3]","['cc', 'discourse']",2,соч-союзн,[3],['огранич'],2,соч-союзн,[3],['огранич'],"Осознанно или нет, но науку примерно с начала 1970-х ""нагло представляют как индустрию, источник выгоды и экспортной выручки, как область конкуренции, когда страны, университеты и школы оцениваются по результативности"".",68_2019Reforma_RAN
4,7,advcl,"[1, 2, 3]","['mark', 'advmod', 'discourse']",3,punct,[],[],1,подч-союзн,[3],['огранич'],3,punct,[],[],"Если же нетто все пойдет по известному сценарию с мучительным выбором между операцией ""Преемник"" и соответствующим изменением конституции.",260_2006Misha
18,14,acl:relcl,"[17, 21]","['advmod', 'nsubj']",14,acl:relcl,"[17, 21]","['advmod', 'nsubj']",14,релят,"[17, 21]","['присвяз', 'предик']",14,релят,"[17, 21]","['обст', 'предик']","Профессионалы, спивавшиеся от бессилия противостоять агитпропу или собственной человеческой слабости, остались там же, где и классические диссиденты.",17_2003Vremya_torgovli
8,5,parataxis,"[7, 10]","['nsubj', 'advmod']",7,punct,[],[],5,примыкат,"[7, 10, 13]","['предик', 'обст', 'сент-соч']",7,punct,[],[],"И Лавров с Ивановым доказывали (Лавров более энергично, Иванов менее ), что именно сейчас торжествует прозорливо намеченная в 2001 году и недавно обновленная внешнеполитическая доктрина России.",19_2007Porazhenie
13,7,conj,"[12, 15]","['nsubj', 'advmod']",14,punct,[],[],8,сент-соч,"[12, 15]","['предик', 'обст']",14,punct,[],[],"И Лавров с Ивановым доказывали (Лавров более энергично, Иванов менее ), что именно сейчас торжествует прозорливо намеченная в 2001 году и недавно обновленная внешнеполитическая доктрина России.",19_2007Porazhenie
15,13,advmod,[14],['advmod'],14,punct,[],[],13,обст,[14],['огранич'],14,punct,[],[],"И Лавров с Ивановым доказывали (Лавров более энергично, Иванов менее ), что именно сейчас торжествует прозорливо намеченная в 2001 году и недавно обновленная внешнеполитическая доктрина России.",19_2007Porazhenie
7,1,orphan,[11],['obl'],8,advmod,[],[],0,root,"[1, 8]","['предик', '1-компл']",8,punct,[],[],Публикации в научных журналах для ВАК тысячу и более долларов.,54_2009Reforma_obrazovaniya
15,5,conj,"[14, 19]","['cc', 'obl']",5,conj,"[14, 19]","['cc', 'obl']",14,соч-союзн,[16],['обст'],14,соч-союзн,[16],['обст'],"Гитлера это категорически не устраивало, и переговоры закончились 14 ноября ничем, и в ""холодной атмосфере"".",232_2019Vtoraya_mirovaya_voina
19,7,conj,"[18, 20]","['obl', 'advmod']",18,punct,[],[],7,сент-соч,"[17, 20, 23]","['2-компл', 'обст', 'сент-соч']",18,punct,[],[],"""Талантливый нос!"" - говорил про него отец, невысокий, обожаемый человек; об отце отдельно, сейчас о запахах.",465_uppsalaGrekova_1
23,7,conj,"[22, 25]","['advmod', 'obl']",22,punct,[],[],19,сент-соч,"[22, 24]","['обст', '2-компл']",22,punct,[],[],"""Талантливый нос!"" - говорил про него отец, невысокий, обожаемый человек; об отце отдельно, сейчас о запахах.",465_uppsalaGrekova_1
9,5,parataxis,"[7, 8]","['obj', 'aux']",8,obl,[],[],8,аналит,[7],['1-компл'],8,предик,[],[],"Там я фантазировал на тему ""что будет и чего не будет делать Медведев"" в рамках перехода к сценарию ""Диктатура развития"".",98_2009Tranzit_18
19,11,conj,"[17, 21]","['nsubj', 'obl']",11,conj,"[17, 21]","['nsubj', 'obl']",11,сент-соч,"[17, 21]","['предик', '1-компл']",21,punct,[],[],"Официальные данные ГУ МВД по Москве таковы: Болотная площадь собрала 36 тысяч участников, Поклонная гора - 138 тысяч, то есть почти вчетверо больше.",6_2012Itogi_subboty
19,15,conj,"[18, 20]","['nsubj', 'advmod']",15,conj,"[18, 20]","['nsubj', 'advmod']",15,сент-соч,"[18, 20, 22]","['предик', 'обст', 'сент-соч']",15,сент-соч,"[18, 20, 22]","['предик', 'обст', 'сент-соч']","В археологии, например, есть целые разряды материальных остатков, одни из которых сохраняются лучше, другие хуже, а третьи вообще исчезают.",19_2019Zanimatelnaya_estetika
10,2,conj,"[8, 14]","['advmod', 'nsubj']",2,conj,"[8, 14]","['advmod', 'nsubj']",2,сент-соч,"[8, 14]","['обст', 'предик']",2,сент-соч,"[8, 14]","['обст', 'предик']","Когда-то были мужские и женские гимназии, позже - мужские и женские школы.",9_uppsalaKorp_602
24,21,conj,"[22, 23]","['cc', 'advmod']",21,conj,"[22, 23]","['cc', 'advmod']",22,соч-союзн,[23],['огранич'],22,соч-союзн,[23],['огранич'],"Разумеется, эпоха была виновата в том, что у нас сложилось ясное сознание: вознесенные к официальной славе - все или почти - получили ее кривыми путями и не по заслугам.",8_2018Rech_Zaliznyaka
16,7,conj,"[12, 14, 17]","['cc', 'obl', 'nsubj']",7,conj,"[12, 14, 17]","['cc', 'obl', 'nsubj']",12,соч-союзн,"[13, 17]","['обст', 'предик']",12,соч-союзн,"[13, 17]","['вводн', 'предик']","Туда, где с одной стороны звучат упреки в графомании, а с другой - хвала утонченности души.",223_2020_Corpus2_0Poslannik_iz_proshlogo
13,23,obl,"[9, 10, 11]","['cc', 'case', 'compound']",11,nmod,[],[],10,предл,[11],['композ'],10,предл,[],[],"Хотя, скажем, в Индии любая девочка и в пяти - и в двенадцатилетнем возрасте на вопрос о своем будущем дает, как правило, единственный ответ - ""буду женой"".",7_uppsalaKorp_602
13,7,conj,"[10, 11, 12, 14]","['cc', 'advmod', 'nsubj', 'obl']",7,conj,"[12, 14]","['nsubj', 'obj']",10,соч-союзн,"[11, 12, 14]","['огранич', 'предик', '1-компл']",10,соч-союзн,"[12, 14]","['предик', '1-компл']","Вообще-то не только англичане боялись нас, но и мы англичан.",78_2009Final_Ligi_Chempionov
18,6,parataxis,"[13, 17, 20]","['advcl', 'mark', 'nsubj']",8,parataxis,"[9, 13, 17, 20]","['punct', 'advcl', 'mark', 'nsubj']",6,разъяснит,"[10, 20]","['обст', 'предик']",8,разъяснит,"[10, 20]","['обст', 'предик']","И, как всегда, ясно лишь одно: если кто-то и осилит эту дорогу, то только идущий.",192_2012Fobos-grunt_gibel_mechty
